,x,y
0,35.86230125269057,76.52973720171371
1,27.07872715381671,64.71193954158134
2,25.919011257291316,62.65465407929338
3,26.05023669535297,62.73873131813671
4,21.89540136196009,51.393039141785486
5,24.062314513463434,37.26868395729856
6,29.649380189256487,27.528865913980148
7,31.300995473151435,25.44226528544759
8,38.71500535736301,19.55188868947533
9,55.270506773774706,16.002502466524373
10,54.56805024511717,15.846911357384412
11,61.2537487481347,16.805867470346286
12,58.43897920196851,13.856492680656476
13,63.98207667212806,14.253587108246007
14,70.16147752966835,13.768948879544302
15,71.7638435170087,16.418476791151914
16,81.82192396148169,16.29511070370102
17,85.52525654367905,28.254717878782657
18,85.06964080766373,39.41636462578645
19,86.01883779760635,44.18411276750664
20,86.2293400646752,46.60433101458495
21,85.8369704704776,51.79259508205012
22,85.87706110837262,52.41553500213792
23,82.3300917769266,62.668257078873786
24,81.09917272318583,65.13492437948047
25,74.27866914462538,72.55828477113242
26,75.56640815519823,71.70933023863849
27,64.20155530594623,78.00774646536176
28,63.95156066967492,78.16913817250143
29,58.547861333853746,79.46910008775447
30,58.429975640156485,79.65910081442296
31,51.14758519308334,80.16573707249829
32,49.75556504977492,84.18519422396717
33,52.17852468604118,80.74792323640925
34,42.77272257598688,77.65667041513211
35,22.322882634809158,96.0337001804072
36,20.814097708045466,91.92209786538304
37,20.84479086301575,85.43228259210044
38,18.628038337293283,79.43080681992403
39,24.921237138090472,73.49775634049169
40,29.731346093845463,68.30975367650488
41,24.764492365492274,69.55922703076406
42,16.615608015923797,82.71134719665532
43,29.060093499143633,90.4389141782838
44,32.18072367854314,89.67729657937892
45,33.578735239587765,84.97703143336922
46,34.701884570139036,81.9066650455533
47,63.42834365855092,78.47738525553365
48,66.51885340458846,77.10812064226022
49,65.18498882041037,90.62701798574682
50,70.99564486789677,88.830080779761
51,75.38661332153742,88.59206638217505
52,82.78600401432573,86.52759547567851
53,81.54919107474629,82.44815290318073
54,77.0586339275192,80.04077934912698
55,78.45805707659532,68.59130984998029
56,30.179706015254787,68.71740087701248
57,74.58211072869182,72.95198585654512
58,29.47427632054125,68.31067946714553
59,24.26209058347819,59.48632521831329
60,26.733905019118367,64.11997949191263
61,22.577324861246225,43.635999263337624
62,23.44503513801822,38.16335184493692
63,23.7902217612516,38.556043109045696
64,29.423177729414896,27.683113841300013
65,31.459904887283418,25.63199009405187
66,41.769335446154166,18.399157699303053
67,37.696334792229365,20.541111953640883
68,44.38673804663297,17.44522766463125
69,59.58336873207622,16.363452086607026
70,38.594874112456196,75.63185557115085
71,46.9936124657508,78.96947527316082
72,64.05904747851827,78.1558144185972
73,36.76905525025267,77.41510790521215
74,61.5282801677817,78.9288466019223
75,70.70329159455744,74.82357661626453
76,74.84845189786914,72.27665460121098
77,82.6310132773933,33.11623512381745
78,74.25216724921185,22.766225036296017
79,70.95595612447369,20.60760231803351
80,22.3059131246808,47.097782329529906
81,23.565137885633305,38.94217117131941
82,24.528833542404364,36.75999076553944
83,24.032028033565414,37.64466650115648
84,22.49263522273689,46.64004135243182
85,25.279063009201256,61.32001052802388
86,39.493349399145075,76.10507250047856
87,38.058999643737806,75.36696487720994
88,25.603297725772926,33.61114385110724
89,26.81064397609709,31.571635127030504
90,32.947088513751886,23.54196344657149
91,23.39233045057001,39.427043489871295
92,22.348194973057414,46.467064489845505
93,31.09485401807726,69.8770349526413
94,24.913890296579318,62.21173946717409
95,76.7335243354371,16.177912912555747
96,84.87525666384587,24.49348394237373
97,22.283051242039217,48.87680385108105
98,31.299190879910274,70.053808170941
99,74.95733622269857,72.15677682078008
